Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202605;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi4260331064854098fca5a0;INC49604685;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;SKI;AOi126033001293934855a9d0;INC49603476;;0
202605;AREA 4;KALIMANTAN;PONTIANAK;SRD;AOi42603281058048270f40f0;INC49602662;;0
202605;AREA 3;JATIM;SURABAYA;ARB;AOi42603140119286320a1460;INC49601641;;1
202605;AREA 2;EASTERN JABOTABEK;BEKASI;DEP;AOi4260330012540243cadab0;INC49593178;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;BNA;AOi4260325013259088358a50;INC49590943;;0
202605;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;PND;AOi42603240447546183f4bf0;INC49588699;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;MRU;AOi4260320101953551fcc0b0;INC49583772;;0
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi4260319075232949b13160;INC49583754;;0
202605;AREA 1;SUMBAGSEL;PANGKAL PINANG;PGP;AOi426032504044198774c0a0;INC49575579;;0
